,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H20_ppt
2017-09-23 09:30:00,-3.0559,-3.3426099999999996,-0.481087,5.283692666029651,381.522,7.82101
2017-09-23 09:30:00.100000,-3.24772,-3.0579400000000003,-0.465782,5.4435340420449165,381.52,7.82136
2017-09-23 09:30:00.200000,-2.68858,-3.40995,-0.274215,5.416890627488442,381.56300000000005,7.8264
2017-09-23 09:30:00.300000,-2.81714,-3.2803699999999996,-0.221667,5.2337516423794455,381.587,7.82267
2017-09-23 09:30:00.400000,-2.64164,-3.16813,-0.201516,5.340297907708248,381.474,7.82614
2017-09-23 09:30:00.500000,-2.60797,-3.02325,-0.18212899999999999,5.366937659261055,381.44199999999995,7.8270800000000005
2017-09-23 09:30:00.600000,-2.5283900000000004,-3.1212,-0.0660666,5.2337516423794455,381.531,7.834
2017-09-23 09:30:00.700000,-3.10385,-3.43954,0.233146,5.2637157190636685,381.43800000000005,7.83225
2017-09-23 09:30:00.800000,-2.83142,-3.7119699999999995,-0.15407,5.285357443960038,381.60699999999997,7.830419999999999
2017-09-23 09:30:00.900000,-2.76816,-3.5681,-0.22983,5.285357443960038,381.555,7.8339300000000005
2017-09-23 09:30:01,-2.83244,-3.6987099999999997,-0.437723,5.177157230450689,381.60699999999997,7.831869999999999
2017-09-23 09:30:01.100000,-2.36921,-3.95175,-0.617302,5.361942608795175,381.59,7.8391399999999996
2017-09-23 09:30:01.200000,-2.6263400000000003,-4.19153,-0.565265,5.495159283424812,381.48199999999997,7.8303
2017-09-23 09:30:01.300000,-2.56206,-3.83849,-0.393594,5.282027893076133,381.534,7.828939999999999
2017-09-23 09:30:01.400000,-2.41819,-3.94971,-0.52037,5.523471930243716,381.401,7.832910000000001
2017-09-23 09:30:01.500000,-2.41819,-3.9986900000000003,-0.250237,5.446864558448851,381.42400000000004,7.829789999999999
2017-09-23 09:30:01.600000,-2.33758,-3.7925800000000005,0.0331608,5.416890627488442,381.48900000000003,7.8317
2017-09-23 09:30:01.700000,-2.09883,-3.6793199999999997,0.149479,5.3136594302437175,381.472,7.833410000000001
2017-09-23 09:30:01.800000,-2.04679,-3.9037900000000003,0.328547,5.311994567705824,381.43699999999995,7.839010000000001
2017-09-23 09:30:01.900000,-2.48043,-3.5028,0.138,5.446864558448851,381.466,7.84218
2017-09-23 09:30:02,-2.3212599999999997,-3.4252599999999997,-0.142592,5.576770226150643,381.56199999999995,7.85048
2017-09-23 09:30:02.100000,-2.44778,-3.312,-0.197179,5.205453717252055,381.48900000000003,7.85575
2017-09-23 09:30:02.200000,-2.57532,-3.2334400000000003,0.0732089,5.2337516423794455,381.49800000000005,7.85492
