Temp,Pressure
288.2,1013.0
281.7,898.8
275.2,795.0
268.7,701.2
262.7,616.6
255.7,540.5
249.2,472.2
242.7,411.1
236.2,356.5
229.7,308.0
223.3,265.0
216.8,227.0
216.7,194.0
216.7,165.8
216.7,141.7
216.7,121.1
216.7,103.5
216.7,88.5
216.7,75.65
216.7,64.67
216.7,55.29
217.6,47.29
218.6,40.47
219.6,34.67
220.6,29.72
221.6,25.49
222.6,22.266
223.5,19.042
224.5,16.338
225.5,14.154
226.5,11.97
227.9,10.386
229.3,8.8
231.3,7.5572
233.9,6.65
236.5,5.746
239.06,5.1076
241.6,4.4692
244.4,3.8942
247.4,3.3826
250.4,2.871
253.16,2.5466
255.9,2.2222
258.68,1.9462
261.44,1.7186
264.2,1.491
266.76,1.3306
269.3,1.17
270.63,1.0317
270.66,0.9147
270.7,0.7978
