H2O,CO2,O3
0.00107280638181441,2.7199354481784e-05,1.33464857879e-07
0.00083988261036159,1.748748120715e-05,1.30898225996e-07
0.00068941219604898,1.2872833346842e-05,1.28428448147e-07
0.0005834787313818101,1.0171640286382e-05,1.26050143552e-07
0.00050505192168793,8.404373375558e-06,1.2375832275999999e-07
0.00044319928592299,7.152505240886e-06,1.21548352711e-07
0.00039173886318037004,6.218880979022e-06,1.1941592547e-07
0.00034869357897333,5.495660156246e-06,1.17357030204e-07
0.00031206393510903996,4.919875182746e-06,1.15367927997e-07
0.00027035668696726,4.4506120051099995e-06,1.13445129197e-07
0.00022114675442907997,4.060813233306e-06,1.1158537298e-07
0.00017834589683848,3.729478665168e-06,1.1071224384800001e-07
7.512515517511e-05,3.446126566624e-06,1.0895490664400001e-07
3.177503880904e-05,3.198969444258e-06,1.07252486228e-07
1.3488311008620001e-05,2.98307695788e-06,1.0560244797799999e-07
5.744160032979999e-06,2.790099087572e-06,1.04002410888e-07
2.45327853045e-06,2.616989697482e-06,1.0326485912e-07
1.05049556451e-06,2.464511653068e-06,1.0174625825e-07
4.5088101704000003e-07,2.325313628056e-06,1.00271674797e-07
1.9393573083e-07,2.1994931783779998e-06,9.953686037899999e-08
8.357985499e-08,2.085210252302e-06,9.8134932768e-08
3.6084693920000005e-08,1.979016603368e-06,9.677194759e-08
1.560487112e-08,1.880405382678e-06,9.5446304473e-08
6.75862447e-09,1.789743265874e-06,9.415648954700001e-08
2.93135689e-09,1.706106319972e-06,9.2901069687e-08
1.2730568700000003e-09,1.6287084576540001e-06,9.1678687191e-08
5.535496700000001e-10,1.5563345262040002e-06,8.9853838455e-08
2.4096829999999997e-10,1.486474795806e-06,8.8701866167e-08
1.0500886999999999e-10,1.423488955684e-06,8.7579057734e-08
4.580639e-11,1.36247366316e-06,8.6484319513e-08
2.000018e-11,1.302444164218e-06,8.4742705168e-08
8.74028e-12,1.245863130358e-06,8.3709257544e-08
3.82278e-12,1.192513463368e-06,8.270071227200001e-08
1.6733000000000002e-12,1.138746976132e-06,8.1716179983e-08
7.329800000000001e-13,1.090562889556e-06,8.075481316e-08
3.2131e-13,1.0398885223139998e-06,7.914776455599999e-08
1.4094e-13,9.928496276559999e-07,7.8238020136e-08
6.186e-14,9.451523939979999e-07,7.7348951725e-08
2.7170000000000002e-14,8.958482613219999e-07,7.647986238e-08
1.1939999999999999e-14,8.39624960364e-07,7.563008613099999e-08
5.25e-15,7.722596659e-07,7.4798986284e-08
2.31e-15,7.17543555778e-07,7.3985953824e-08
1.02e-15,6.754610209060001e-07,7.319040593300001e-08
4.5e-16,6.508796040880001e-07,7.241178459400001e-08
2.0000000000000002e-16,6.27371362016e-07,7.1649555282e-08
9e-17,6.03965906946e-07,7.0903205748e-08
4e-17,5.91333451714e-07,7.0172244864e-08
2e-17,5.684953207520001e-07,6.9456201549e-08
1e-17,5.4631415487e-07,5.1565967817000004e-08
0.0,5.355621935119999e-07,3.8287731104000004e-08
