H2O,CO2,O3
0.00775,0.00033,2.66e-08
0.00607,0.00033,2.93e-08
0.00463,0.00033,3.24e-08
0.00318,0.00033,3.32e-08
0.00216,0.00033,3.39e-08
0.0014,0.00033,3.77e-08
0.000925,0.00033,4.1100000000000004e-08
0.000572,0.00033,5.01e-08
0.000367,0.00033,5.97e-08
0.000158,0.00033,9.17e-08
7e-05,0.00033,1.31e-07
3.61e-05,0.00033,2.15e-07
1.91e-05,0.00033,3.1e-07
1.09e-05,0.00033,3.85e-07
5.93e-06,0.00033,5.03e-07
5e-06,0.00033,6.51e-07
3.95e-06,0.00033,8.7e-07
3.85e-06,0.00033,1.19e-06
3.83e-06,0.00033,1.59e-06
3.85e-06,0.00033,2.03e-06
3.9e-06,0.00033,2.58e-06
3.98e-06,0.00033,3.03e-06
4.07e-06,0.00033,3.65e-06
4.2e-06,0.00033,4.17e-06
4.3e-06,0.00033,4.63e-06
4.43e-06,0.00033,5.12e-06
4.49e-06,0.00033,5.357999999999999e-06
4.55e-06,0.00033,5.6639999999999995e-06
4.61e-06,0.00033,5.95e-06
4.655e-06,0.00033,6.25e-06
4.73e-06,0.00033,6.55e-06
4.77e-06,0.00033,6.877999999999999e-06
4.82e-06,0.00033,7.206e-06
4.85e-06,0.00033,7.464e-06
4.87e-06,0.00033,7.652e-06
4.9e-06,0.00033,7.84e-06
4.93e-06,0.00033,7.824e-06
4.945e-06,0.00033,7.807999999999999e-06
4.967e-06,0.00033,7.7e-06
5e-06,0.00033,7.5e-06
5.03e-06,0.00033,7.3e-06
5.07e-06,0.00033,6.86e-06
5.13e-06,0.00033,6.42e-06
5.17e-06,0.00033,6.01e-06
5.19e-06,0.00033,5.63e-06
5.23e-06,0.00033,5.25e-06
5.225e-06,0.00033,4.79e-06
5.245e-06,0.00033,4.33e-06
5.245e-06,0.00033,3.9e-06
5.235e-06,0.00033,3.5e-06
