,temp,press
0,277.2,1278.0
1,277.1,1000.0
2,255.2,784.6
3,255.2,608.6
4,249.2,466.2
5,236.2,351.8
6,223.3,261.0
7,216.6,191.0
8,216.6,139.0
9,216.6,102.5
10,216.6,75.65
11,216.6,55.29
12,218.6,40.47
13,220.6,29.72
14,222.5,21.88
15,224.5,16.16
16,226.5,11.97
17,228.5,8.89
18,233.7,6.6339999999999995
19,239.3,4.985
20,244.8,3.771
21,250.4,2.8710000000000004
22,255.9,2.2
23,261.4,1.695
24,266.9,1.3130000000000002
25,270.6,1.023
26,270.6,0.7977
27,269.0,0.6221
28,263.5,0.4833
29,258.0,0.3736
30,252.5,0.2872
31,247.0,0.2196
32,241.5,0.16690000000000002
33,236.0,0.126
34,230.5,0.09459
35,225.1,0.07051
36,219.6,0.0522
37,214.3,0.03835
38,210.3,0.028
39,206.4,0.02033
40,202.5,0.0144
41,198.6,0.0103
42,194.7,0.0074
43,190.8,0.005239100000000001
44,186.9,0.003632
